ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,evolutionary_group
GO:0007250,activation of NF-kappaB-inducing kinase activity,2/16,10/18860,0.2,235.75,21.6362851990691,3.024430171077915e-5,0.009186665610724662,0.005578946727160725,TNFRSF10A/TNFRSF10B,2,Vertebrates
GO:0035907,dorsal aorta development,2/16,10/18860,0.2,235.75,21.6362851990691,3.024430171077915e-5,0.009186665610724662,0.005578946727160725,NGFR/ENG,2,Vertebrates
GO:0097191,extrinsic apoptotic signaling pathway,4/16,239/18860,0.016736401673640166,19.728033472803347,8.490287587218283,4.060374055656833e-5,0.009186665610724662,0.005578946727160725,LCN2/TNFRSF10A/TNFRSF10B/NGFR,4,Vertebrates
GO:0036462,TRAIL-activated apoptotic signaling pathway,2/16,13/18860,0.15384615384615385,181.34615384615387,18.953534906932315,5.2345672995582115e-5,0.009186665610724662,0.005578946727160725,TNFRSF10A/TNFRSF10B,2,Vertebrates
GO:0071214,cellular response to abiotic stimulus,4/16,355/18860,0.011267605633802818,13.281690140845072,6.8070750965692595,1.877828494481263e-4,0.021970593385430778,0.013342465618682657,LCN2/TNFRSF10A/TNFRSF10B/GPR68,4,Vertebrates
GO:0104004,cellular response to environmental stimulus,4/16,355/18860,0.011267605633802818,13.281690140845072,6.8070750965692595,1.877828494481263e-4,0.021970593385430778,0.013342465618682657,LCN2/TNFRSF10A/TNFRSF10B/GPR68,4,Vertebrates
GO:1902230,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage,2/16,31/18860,0.06451612903225806,76.04838709677419,12.185443940327492,3.0929355383477826e-4,0.031017724970287763,0.018836675083170704,CD44/CLU,2,Vertebrates
GO:0032147,activation of protein kinase activity,2/16,39/18860,0.05128205128205128,60.44871794871795,10.828946875669077,4.909275403381944e-4,0.04233289895109784,0.02570823822941164,TNFRSF10A/TNFRSF10B,2,Vertebrates
GO:1902229,regulation of intrinsic apoptotic signaling pathway in response to DNA damage,2/16,41/18860,0.04878048780487805,57.5,10.55297426020146,5.427294737320236e-4,0.04233289895109784,0.02570823822941164,CD44/CLU,2,Vertebrates
GO:0050673,epithelial cell proliferation,4/16,496/18860,0.008064516129032258,9.506048387096774,5.593940193543606,6.687921439390881e-4,0.046949208504523984,0.028511665083719016,CLDN1/NGFR/IGFBP3/ENG,4,Vertebrates
GO:1904646,cellular response to amyloid-beta,2/16,50/18860,0.04,47.15,9.52127444371411,8.07183983301692e-4,0.04956760602648992,0.030101785036329907,LCN2/NGFR,2,Vertebrates
GO:0071356,cellular response to tumor necrosis factor,3/16,226/18860,0.01327433628318584,15.64712389380531,6.454852206372653,8.473095047263234e-4,0.04956760602648992,0.030101785036329907,LCN2/AKAP12/CLDN1,3,Vertebrates
